Descripcion;Precio Contado;Precio Tarjeta;SEGMENTO
COLLAR BULON 110X 1°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 1/2° CON INCERTO DE BCE;11470,45;13994;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 1/2°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 3/4° CON INCERTO DE BCE;12143,94;14816;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 3/4°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X1 1/4°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 140X 1°AGUAMAT;18075,78;22053;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 140X 1/2°AGUAMAT;18075,78;22053;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 140X1 1/4°AGUAMAT;18075,78;22053;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X 1°AGUAMAT;16670,04;20338;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X 1/2°AGUAMAT;16605,25;20259;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X 3/4°AGUAMAT;16605,25;20259;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X1 1/4°AGUAMAT;16670,04;20338;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1 1/4°AGUAMAT;7189,94;8772;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1°AGUAMAT;7230,61;8822;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1/2° CON INCERTO DE BCE;10319,34;12590;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1/2°AGUAMAT;1821,59;2223;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 3/4° CON INCERTO DE BCE;11015,43;13439;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 3/4°AGUAMAT;7189,94;8772;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90 X 1/2° RACO 2 BULON AGUAMAT;16701,68;20377;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1 1/4°AGUAMAT;7328,55;8941;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1°AGUAMAT;7376,77;9000;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1/2° CON INCERTO DE BCE;10463,98;12767;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1/2°AGUAMAT;7376,77;9000;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 3/4° CON INCERTO DE BCE;11169,11;13627;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 3/4°AGUAMAT;7376,77;9000;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 40X 1°AGUAMAT;6368,79;7770;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 40X 1/2°AGUAMAT;6418,51;7831;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 40X 3/4°AGUAMAT;6368,79;7770;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 50X 1° AGUAMAT;6337,15;7732;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 50X 1/2° AGUAMAT;6337,15;7732;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 50X 3/4° AGUAMAT;6337,15;7732;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 63X 1° AGUAMAT;6701,77;8177;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 63X 1/2° AGUAMAT;6701,77;8177;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 63X 3/4° AGUAMAT;6701,77;8177;MONTURA, ABRAZADERA, RIEGO
LLAVE MAESTRA 20 X 1/2° RM PLASTICO AGUAMAT;7977,94;9734;MEDIDOR
NIPLE PARA MEDIDOR DN 15 MM AGUAMAT;1651,34;2015;MEDIDOR
RACOR ROSCA MACHO 20MM X 1/2° POLIET AD AGUAMAT;4428,17;5403;MEDIDOR
VALVULA DE RETENCION DN 15MM AGUAMAT;4182,58;5103;MEDIDOR
VALVULA ESFERICA C/ACOPLE RAP PEAD 20 RH 3/4°;10634,23;12974;MEDIDOR
VALVULA ESFERICA C/ACOPLE RAP PEAD 25 RH 1°;13290,53;16215;MEDIDOR
REJILLA GAS APROBADA 15 X 15 /100CM2 AIR;960,34;1172;REJA, VENTILACION
REJILLA GAS APROBADA 15 X 30 /200CM2;1920,67;2344;REJA, VENTILACION
REJILLA GAS APROBADA 20 X 20 /100CM2 AIRVENT;1329,16;1622;REJA, VENTILACION
MALLA ADVENTENCIA 15CM TELEF.BLANCA X mts;717,18;875;MALLAS, CINTA
MALLA ADVERTENCIA 15CM AGUA AZUL X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM CLOACA NARANJA X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM E.R.F.V VERDE X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM ELECTRICIDAD ROJA X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM GAS AMARILLA X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM AGUA AZUL X mts;750,33;916;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM CLOACA NARANJA X mt;750,33;916;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM ELECTRI ROJA X mts;750,33;916;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM GAS AMARILLA X mts;750,33;916;MALLAS, CINTA
MALLA VALLADO 1MT X mts NARANJA SEGURIDAD;505,58;617;MALLAS, CINTA
BOMBA CONDE NSADO BLUESTAR-MPC-ORANGE/RED;121042,92;147673;AIRE, ACONDICIONADO
BOMBA VACIO BLUESTAR DVP 1A-60LT/MIN;681984,43;832022;AIRE, ACONDICIONADO
CASSETE INVERTER 15000 KCAL LG;5382576,88;6566744;AIRE, ACONDICIONADO
CASSETE INVERTER 9000 KCAL LG;3617651;4413535;AIRE, ACONDICIONADO
CINTA BLANCA SIN ADHESIVO 20 mts X 72MM-101B;3146,98;3840;AIRE, ACONDICIONADO
CONDENSADOR MULTISPLIT 7000 KCAL LG;2880377,49;3514061;AIRE, ACONDICIONADO
EVAPORADORA DE 2250 KCAL ARTCOOL;634802,53;774460;AIRE, ACONDICIONADO
EVAPORADORA DE 3000 KCAL ARTCOOL;852669,96;1040258;AIRE, ACONDICIONADO
GARRAFA 13,6 kg -R22-BLUE STAR;477565,62;582631;AIRE, ACONDICIONADO
JUEGO TACOS GOMA ANTIVID. COND X 4UNIDADES;4415,98;5388;AIRE, ACONDICIONADO
JUEGO TACOS GOMA PARA SPLIT X 4UNIDADES;4178,95;5099;AIRE, ACONDICIONADO
LATA 1 kg - R22- NECTON;52571,19;64137;AIRE, ACONDICIONADO
MANIFOLD VMG-2-R410A VALUE;164090,34;200191;AIRE, ACONDICIONADO
MENSULA 62CM PARA AIRE ACOND C/U 70 kg EPOXI;27511,26;33564;AIRE, ACONDICIONADO
MENSULA 80CM PARA AIRE ACOND C/U 200 kg EPOXI;46144,72;56297;AIRE, ACONDICIONADO
TIRA DE 1.83 mts 3/4° AIRE ACONDICIONADO;3329,18;4062;AIRE, ACONDICIONADO
VALVULA PARA LATA 1 kg MP39/R134/HCFC141;7231,27;8823;AIRE, ACONDICIONADO
ADAPTADOR 60/100- 80/125 3318040;60983,41;74400;CALDERA, ARISTON
CODO 45º CONDE NS X 2UNID 3318076;109234,1;133266;CALDERA, ARISTON
CODO 45º ELBOW 125- 3318037, 2 UNID;124755,62;152202;CALDERA, ARISTON
CODO 90º CONDE NS 3318075;62024,32;75670;CALDERA, ARISTON
CODO 90º ELBOW 125 3318036;57604,13;70278;CALDERA, ARISTON
COND ADAPTADOR 60-100-80/125 3318095;43559,2;53143;CALDERA, ARISTON
COND VERTICAL START- 3318079;40074,71;48892;CALDERA, ARISTON
CURVA COAXIAL A 45ºX2 UNID. 3318004;81239,9;99113;CALDERA, ARISTON
CURVA COAXIAL A 90º 3318003;45707,12;55763;CALDERA, ARISTON
EXTENSION COAXIAL 1 M 3318005;51498,66;62829;CALDERA, ARISTON
EXTENSION COAXIAL 1 M 80/125 3318038;101119,85;123367;CALDERA, ARISTON
EXTENSION COAXIAL 1 M CONDE NS 3318077;72116,91;87983;CALDERA, ARISTON
EXTENSION X 1M 80/125 P/CONDE N 3318093;136095,22;166037;CALDERA, ARISTON
KIT HORIZONTAL COAXIAL 80/125 3318090;288469,38;351933;CALDERA, ARISTON
SONDA EXTERNA SENSYS 3318588;23809,69;29048;CALDERA, ARISTON
STANDARD HORIZONTAL COAXIAL 3318035;218049,06;266020;CALDERA, ARISTON
TERMINAL DESCARGA TECHOS NEGRO 3318013;178446,55;217705;CALDERA, ARISTON
TERMOSTATO ARISTON SENSYS NET LIGHT 3318991 WIFI;353265,12;430984;CALDERA, ARISTON
VERTICAL START WIHT 3318008;56627,57;69086;CALDERA, ARISTON
CALDERA CLAS X 28 FF* DUAL + 3318000 DOBLE SERVIC;2354549,8;2872551;CALDERA, ARISTON
CALDERA COND.CALEF.GENUS ONE SYSTEM 35 +3318073;4434982,12;5410679;CALDERA, ARISTON
CALDERA CONDE N CLAS ONE 24EU;3426534,51;4180373;CALDERA, ARISTON
CALDERA CONDE N DUAL CLAS ONE 24EU 3301017+3318073;3467120,77;4229888;CALDERA, ARISTON
CALDERA CONDE N.DUAL ALTEAS ONE NET + 3318073;5129308,31;6257757;CALDERA, ARISTON
CALDERA HS X (OBRA) + 3318000 ARISTON DS 24000;1788654,32;2182159;CALDERA, ARISTON
TERMOSTATO ARISTON SENSYS 3318585;262799,74;320616;CALDERA, ARISTON
SD-TUBO PVC CL10 - 32X1.6MM 3 METROS JP MARRON;5017,29;6122;caños tigre riego
SD-TUBO PVC CL10 - 40X2.0MM 3 METROS JP MARRON;6682,18;8153;caños tigre riego
SD-TUBO PVC CL10 - 50X2.4MM 3 METROS JP MARRON;9457,51;11539;caños tigre riego
SD-TUBO PVC CL16 - 20X1.0MM 3 METROS JP MARRON;2692,46;3285;caños tigre riego
SD-TUBO PVC CL16 - 25X1.2MM 3 METROS JP MARRON;3563,33;4348;caños tigre riego
BUJE RED.1 X 3/4° HIERRO FORJ. ASTM 105 SER. 2000;17992,92;21952;astm gas
BUJE RED.11/4°X 3/4° HIERRO ASTM 105 SER. 2000;27467;33510;astm gas
BUJE RED.114 X 1° HIERRO FORJ. ASTM 105 SER. 2000;27467;33510;astm gas
CASQUETE (TAPA) 2° P/SOLDAR E.P. SCH80;36092,81;44034;astm gas
CASQUETE (TAPA) 3° P/SOLDAR E.P. SCH80;55979,63;68296;astm gas
CAÑO NEGRO IRAM 2502 LISO 3/4°X6.4 mts;47834,46;58359;astm gas
CODO 1° HIERRO FORJADO ASTM 105 SERIE 2000;35963,23;43876;astm gas
CODO 3/4° HIERRO FORJADO ASTM 105 SERIE 2000;21259,43;25937;astm gas
CODO 3/4° HIERRO FORJADO ASTM 105 SERIE 3000;35963,23;43876;astm gas
CUPLA 1° HIERRO FORJADO ASTM 105 SERIE 3000;15922,72;19426;astm gas
CUPLA 3/4° HIERRO FORJADO ASTM 105 SERIE 3000;10019,5;12224;astm gas
CUPLAS SCH 80 3/4°;11282,11;13765;astm gas
NIPLE 1 X 10CM HIERRO ARANA SCH40 ASTM;19147,04;23360;astm gas
NIPLE 1 X 5CM HIERRO FORJ. ASTM;19147,04;23360;astm gas
NIPLE 1 X 8CM HIERRO FORJ. SCH40 ASTM;14354,26;17513;astm gas
NIPLE 11/4°X10CM HIERRO FORJ. ASTM;20780,3;25352;astm gas
NIPLE 11/4°X15CM HIERRO FORJ. ASTM;32803,7;40021;astm gas
NIPLE 3/4°X10CM HIERRO FORJ. SCH40 ASTM;12895,78;15733;astm gas
NIPLE 3/4°X20CM- SCH40 ARAN. ASTM;22362,32;27283;astm gas
NIPLE 3/4°X8CM SCH40 ARAN ASTM;12089,7;14750;astm gas
ROSCA C/TUERC 11/4° HIERRO FORJ. ASTM 105 SER. 200;36659,33;44725;astm gas
ROSCA C/TUERCA 1° HIERRO FORJ.ASTM105 S 2000;21803,34;26601;astm gas
ROSCA C/TUERCA 3/4° HIERRO FORJ.ASTM105 S 2000;14342,2;17498;astm gas
TAPA CASQUETE P/S STD 2° SCH;29362,42;35823;astm gas
TEE 1 1/4° HIERRO FORJADO ASTM 105 SERIE 2000;74233,21;90565;astm gas
TEE 1° HIERRO FORJADO ASTM 105 SERIE 2000;45916,44;56019;astm gas
TEE 3/4° HIERRO FORJADO ASTM 105 SERIE 2000;26678,99;32549;astm gas
TEE P/S STD RED 3 X 2 SCH;199787,36;243741;astm gas
UNION DOBLE 1° HIERRO FORJ.ASTM105 S 2000;63909,36;77970;astm gas
UNION DOBLE 11/4° HIERRO FORJ. ASTM 105 SER. 2000;111198,39;135663;astm gas
UNION DOBLE 3/4° HIERRO FORJ.ASTM105 S 2000;61622,2;75180;astm gas
CODO 110 A 90º 3,2;2861,98;3492;pvc blanco
CODO 63 A 90º 3,2;944,2;1152;pvc blanco
CURVA DE 50 A 45º 3,2;918,37;1121;pvc blanco
CURVA DE 63 A 90º;1324,86;1617;pvc blanco
EMBUDO FRONTAL 110 3,2;4943,02;6031;pvc blanco
PORTA REJILLA 10 X 10;1892,37;2309;REJILLAS
RAMAL DE 110X110 A 45º 3,2;5014,68;6118;REJILLAS
TAPA DE 40 3,2 ASTRID;407,06;497;REJILLAS
TAPA DE 50 3,2 ASTRID;426,17;520;REJILLAS
BACHA DE APOYO PIRAMIDAL MARMOL TRAVERTINO;169624,46;206942;BACHAS
BACHA DE APOYO RECTANG. CON ESCALON SIMIL PIEDRA;199678,43;243608;BACHAS
BACHA DE APOYO RECTANGULAR MARMOL 3A;314410,67;383582;BACHAS
GUARDACANTO INOX S/ TRATAMIENTO 12MM GAST12;9351,41;11409;perfiles
BASE ELEVADORA BIDET T INOBASE;51235,29;62508;BASES
BASE ELEVADORA INODORO ANDINA-BARI INOBASE;51235,29;62508;BASES
MANOMETRO 0 A 1 kg// DIAMETRO 2 1/2° ROSCA 1/4°;10244,93;12499;MANOMETROS
MANOMETRO 0 A 1 kg// DIAMETRO 2 1/2° ROSCA 1/4°INO;17702,43;21597;MANOMETROS
MANOMETRO 0 A 14 kg// DIAMETRO 2 1/2° ROSCA 1/4°;9114,59;11120;MANOMETROS
MANOMETRO 0 A 2 kg// DIAMETRO 2 1/2° ROSCA 1/4°;9114,59;11120;MANOMETROS
MANOMETRO 0 A 3 kg// DIAMETRO 2 1/2° ROSCA 1/4°;9114,59;11120;MANOMETROS
MANOMETRO 0 A 4 kg// DIAMETRO 2 1/2° ROSCA 1/4°;9114,59;11120;MANOMETROS
MANOMETRO 0 A 500GR// DIAMETRO 4° ROSCA 1/4°;30310,13;36979;MANOMETROS
MANOMETRO 0 A 7 kg// DIAMETRO 4° ROSCA 1/4°;9114,59;11120;MANOMETROS
AIRE ACON INVERTER 5300W F/C ALASKA - ASI53WCGT;1250860,92;1526051;AIRES acondicionados
AIRE ACON INVERTER SAMSUNG 3000 FC;912735,52;1113538;AIRES acondicionados
AIRE ACON SPLIT 2600W F/C ALASKA - AS26WCCS;716330,41;873924;AIRES acondicionados
AIRE ACON SPLIT 2600W F/C BGH-BS26WCCR/CAT SILENT;814219,75;993349;AIRES acondicionados
AIRE ACON SPLIT 3450W F/C BGH-BS35WCCR/ SILENTAIR;817887,77;997824;AIRES acondicionados
AIRE ACON SPLIT 3500 W F/C ALASKA-AS35WCCS;748033,14;912601;AIRES acondicionados
AIRE ACON SPLIT 5200W F/C BGH-BS52WCCR SILENT AIR;1240933,17;1513939;AIRES acondicionados
AIRE ACON SPLIT 6500W F/C BGH-BS65WCCR SILENT AIR;1594880,82;1945755;AIRES acondicionados
AIRE ACON. INV 3400W F/C BGH-BSI35WCCR SILENT AIR;912735,51;1113538;AIRES acondicionados
AIRE ACON. INV 5200W F/C BGH-BSI53WCCR SILENT AIR;1374050,66;1676342;AIRES acondicionados
AIRE ACON. INV 6500W F/C BGH-BSI65WCGT SILENT AIR;1984250,8;2420786;AIRES acondicionados
AIRE ACONDICIONADO INVERTER WIFI 5200 W F/C - LG;1429012,68;1743396;AIRES acondicionados
HORNO ELECTRICO 16LT NEGRO BGH BHE17M20;75707,28;92363;HORNOS
HORNO ELECTRICO 25LT NEGRO BGH BHE25M23N;103471,09;126235;HORNOS
MICROONDAS 20 Lts DIGITAL BLANCO LIKON;196232,24;239404;hornos microondas
MICROONDAS 20 Lts MECANI BLANCO DAEWO D120M;192189,39;234472;hornos microondas
MICROONDAS 20 Lts MECANICO BLANCO LIKON;196204,43;239370;hornos microondas
BIDE MATIC DUAL PARA AGUA FRIA DOBLE BOQUILLA;70229,97;85681;BIDES, duchador
DUCHA MANUAL BIDET BIDEMATIC;44804,95;54663;BIDES, duchador
NEOBIDE T FRIA/CALIENTE;146485,94;178713;BIDES
SIFON CRIOLLO CROMADO LAVARROPA;6652,76;8117;SIFONES
SIFON KING TUBULAR CROMADO PARA LAVATORIO***;23071,83;28148;SIFONES
SIFON MINIMALL CROMADO 1 1/4°XD32/250 LAVATOR*****;26621,82;32479;SIFONES
TUBO EXTENSIBLE C/GOMA 50-40 BONOM;1729,7;2111;DESCARGAS
ANILLO/SUPLEMENTO 60X60X20 ALT EN POLIPROPILENO;31210,3;38077;aro, CAMARAS DE INSPECCION
BASE REJILLA PLASTICA PARA CONSTRU TAPA CEMENTO;17962,61;21915;CAMARAS DE INSPECCION
CAMARA C/TAPA INTERIOR Y COJINETE 60X60 PLAST;74438,38;90815;CAMARAS DE INSPECCION
CAMARA DESENGRASADORA COCINA 40*30*25;39951,32;48741;DESENGRASADORAS
CM-CAMARA DESENGRASADORA 150 Lts 56X56X63 - BORI;187195,93;228380;DESENGRASADORAS
TAPA PLASTICA 60X60;9422,72;11496;CAMARAS DE INSPECCION, tapa pvc
ANAFE 1 H LOZA BLANCO C/TERMOCUPLA GE-104 ENVASADO;82125,73;100194;ANAFES
ANAFE 1 H LOZA NEGRA C/TERMOCUPLA GN-104 NATURAL;85491,72;104300;ANAFES
ANAFE 2 H LOZA NEGRA C/TERMOCUPLA GN-204 NAT;133451,02;162811;ANAFES
ANAFE 2 H LOZA NEGRA GAS ENVASADO SIN TERMOC;133451,02;162811;ANAFES
ANAFE BROGAS ELECTRICO 1 HORNALLA;31956,24;38987;ANAFES
ANAFE BROGAS ELECTRICO 2 HORNALLAS;56732,3;69214;ANAFES
ANAFE CON VALIJA 1 HORN ENCENDIDO DUAL CARTUCHO;43019,38;52484;ANAFES
BANQUITO TIJERA COLOR AZUL;26683,22;32554;BANQUITOS
BIOCALENTADOR DE ENCASTRE BROGAS-*********;22723,76;27723;ANAFES
CALEFON EPOXI 20 Lts GRIFO DE NYLON;69573,04;84880;CALEFONES
CALEFON PLASTICO 20 Lts RES BRONCE;31476,23;38402;CALEFONES
CALENTADOR P/CARTUCHO SIST.CLIP;32135,8;39206;ANAFES
CARTUCHO DE GAS BUTANO 227G;2422,54;2956;CARTUCHOS
CRUZ PARA ASADOR CRIOLLO;102308,37;124817;PARRILLAS
DISCO PAELLERO CON PATAS BROGAS;48898,35;59656;PARRILLAS
HELADERA LUNCHERA DE 11 Lts HELADERITA;70273,84;85735;HELADERAS
MESA PLEGABLE ALUMINIO 58X58X65;166377,23;202981;MESAS
PANTALLA 2600 CAL CON PILOTO ANALIZ. AMB. GN 5600;101132,75;123382;PANTALLAS GAS
PANTALLA 3000-6000 CAL 2 VIAS C/PIL GN 5955;201838,2;246243;PANTALLAS GAS
QUEMADOR BROGAS P/DISCO 38CM 1 ROBINETES FG-274 GN;107104,45;130668;QUEMADORES
REGULADOR PARA GARRAFA 10 kg C/MANGUERA 1,5M 4028-;9584,72;11694;MANGUERAS
REGULADOR PARA GARRAFA 10 kg C/MANGUERA 2MT 4028;10400,98;12690;MANGUERAS
RESPALDO COCINA 1560 COCINA ELECTRICA 4H;17167,19;20944;COCINAS
RESPALDO COCINA 1562 COCINA ELECTRICA INOX;6923,46;8447;COCINAS
SOLDADOR TECHISTA 50MM C/ GATILLO C/MANG P/GARR 10;27935,89;34082;SOLDADURAS
SOPLETE CON GATILLO, ENCENDIDO ELECTRONICO 2706;9804,51;11962;SOPLETES
SOPLETE PARA CARTUCHO 250 CON ENCENDIDO 2702;14839,04;18104;SOPLETES
SOPLETE SISTEMA CLIP PARA CARTUCHO 2703;8332,56;10166;SOPLETES
TANZA BORDEADORA REDONDA 1,5MM X mts BROKSOL******;272,7;333;TANZAS
TAPA PARA DISCO PAELLERO BROGAS;18284,39;22307;TAPAS
TERMO ACERO DE 1000CM3 CON TAPON CEBADOR;40714,88;49673;TERMOS 
CERCO VERDE OSCURO 1.90X100 mts;152542,6;186102;CERCOS
FILM POLIETILENO NEGRO 4X150 MIC X 24 M2 6MT LINEA;6708,12;8184;POLIETILENO, naylon
FILM POLIETILENO NEGRO 4X200 MIC X 50 mts;79220,71;96650;POLIETILENO, naylon
MEDIA SOMBRA 90% BEIGE 2 X 100 mts;264993,75;323293;CIERRES, cerco
ABRAZADERA Ø100 P/ SALIDA DE HUMOS 30-015-01 CALDA;14914,75;18196;REPUESTOS CALDERAS
BLISTER PARA ARMAR RADIADOR CALDAIA;17045,21;20796;kit, REPUESTOS CALDERAS
BLISTER PROMO PARA ARMAR RADIADOR CALDAIA;0,01;1;kit, REPUESTOS CALDERAS
BOMBA GRUNDFOS UPS 15-70 AOKR CALDAIA;448281,55;546904;REPUESTOS CALDERAS
CABEZAL TERMOSTATICO CALEFFI CALDAIA;49003,65;59785;REPUESTOS CALDERAS
CALEFON DIGITAL 26TBF 26000 KCAL/H 17 Lts X MIN CA;1987861,62;2425192;REPUESTOS CALDERAS
CENTRADOR P/ SAL HUMOS 60/100 CALDAIA;4260,93;5199;REPUESTOS CALDERAS
COLECTOR MEZCLADOR MULTIBOMBA PARA 2 BOMBAS CALDAI;821874,87;1002688;REPUESTOS CALDERAS
COLECTOR MEZCLADOR MULTIBOMBA PARA 3 O 4 BOMBAS CA;974154,73;1188469;REPUESTOS CALDERAS
CUPLA DE ALUMINIO 60MM 31-156-01 CALDAIA;21306,13;25994;REPUESTOS CALDERAS
CUPLA DE ALUMINIO 80MM 31-089-01 CALDAIA;27697,52;33791;REPUESTOS CALDERAS
CUPLA PARA TUBO PLASTICO 100MM CALDAIA;25567,06;31192;REPUESTOS CALDERAS
CURVA 90º 80MM HH BLANCA 31-068-01 /--086-- CALDAI;68179,32;83179;REPUESTOS CALDERAS
CURVADOR CURVA TUBOS 20MM CALDAIA PLASTICOS;4474,88;5460;REPUESTOS CALDERAS
DETENTOR ESCUADRA 1/2° CALEFFI CALDAIA;13467,69;16431;REPUESTOS CALDERAS
ECO MAX (MODIFICA TEMP AGUA DE L CIRCUITO) CALDAIA;77059,76;94013;REPUESTOS CALDERAS
GRIFO DE PURGA MANUAL 1/2° CALDAIA;6059,92;7394;REPUESTOS CALDERAS
GUARNICION PARA RADIADOR 1° ORING CALDAIA;1704,07;2079;REPUESTOS CALDERAS
JUNTA PARA ARMADO DE RADIADORES CALDAIA;678,01;828;REPUESTOS CALDERAS
KIT CODO 45º 60/100 SIN BRIDA 04-074-01 CALDAIA;153403,84;187153;REPUESTOS CALDERAS
KIT CODO 90º 60/100 CON BRIDA 04-082-01 NO RECIBIR;153403,84;187153;REPUESTOS CALDERAS
KIT CODO 90º 60/100 SIN BRIDA 04-019-01 CALDAIA;153403,84;187153;REPUESTOS CALDERAS
KIT CONEXION HIDRAULICA Y GAS DOBLE SERVICIO CALDA;210930,85;257336;REPUESTOS CALDERAS
KIT DE CONEX SC S30/X30/X35 04-047-01 CALDAIA;178970,9;218345;REPUESTOS CALDERAS
KIT DE CONEXION DS TOP 04-127-01 CALDAIA;213371,7;260314;REPUESTOS CALDERAS
KIT SALIDA DE HUMO HORIZ 60/100 0.8M 04-083-01 CAL;221583,16;270332;REPUESTOS CALDERAS
KIT SALIDA DE HUMOS 80MM X 0.8 mts 04-084-01 CALDA;238628,37;291127;REPUESTOS CALDERAS
KIT SALIDA VERTICAL 60/100 CON BRIDA 04-053-01 CAL;153403,84;187153;REPUESTOS CALDERAS
KIT SALIDA VERTICAL 80MM 31-069-01 CALDAIA;136358,64;166358;REPUESTOS CALDERAS
LLAVE PLASTICA PARA TAPON DE RADIADOR CALDAIA;26321,91;32113;REPUESTOS CALDERAS
MENSULA REGULABLE (PAR) DURLOCK CALDAIA;10653,82;12998;REPUESTOS CALDERAS
MEZCLADORA HIDRAULICA MULTIBOMBA CALDAIA;1770308,86;2159777;REPUESTOS CALDERAS
NIPLE 1/2° CROMADO Y ROSETA INOX (PAR) CALDAIA;25567,06;31192;REPUESTOS CALDERAS
TANQUE ACUMULADOR CON SERPENTINA 212 Lts CALDAIA;6184437,29;7545014;REPUESTOS CALDERAS
TANQUE DE EXPANSION SALMSON 100 LITROS 1° CALDAIA;815266,52;994626;REPUESTOS CALDERAS
TANQUE DE EXPANSION SALMSON 150 LITROS 1° CALDAIA;1144790,61;1396645;REPUESTOS CALDERAS
TANQUE DE EXPANSION SALMSON 18 LITROS 3/4° CALDAIA;173372,03;211514;REPUESTOS CALDERAS
TANQUE DE EXPANSION SALMSON 24 LITROS 3/4° CALDAIA;225722,05;275381;REPUESTOS CALDERAS
TANQUE DE EXPANSION SALMSON 250 LITROS 1° CALDAIA;1609222,39;1963252;REPUESTOS CALDERAS
TANQUE DE EXPANSION SALMSON 35 LITROS 1° CALDAIA;353237,91;430951;REPUESTOS CALDERAS
TANQUE DE EXPANSION SALMSON 50 LITROS 1° CALDAIA;428495,67;522765;REPUESTOS CALDERAS
TERMINAL ANTIVENTO HORIZONTAL 80 METALICO ACERO CA;46873,19;57186;REPUESTOS CALDERAS
TERMINAL ANTIVENTO VERT 80 NEGRO 29-074-01 CALDAIA;176840,44;215746;REPUESTOS CALDERAS
TERMINAL ANTIVENTO VERTICAL 60/100 NEGRO 29-073-01;230106,53;280730;REPUESTOS CALDERAS
TERMOSTATO DE AMBIENTE DIG. CALDAIA;70309,78;85778;REPUESTOS CALDERAS
TERMOSTATO DE AMBIENTE WI-FI - INALAMBRI 04-166-01;276979,71;337916;REPUESTOS CALDERAS
TERMOSTATO INALAMBRICO 04-152-02 CALDAIA;191755,19;233942;REPUESTOS CALDERAS
TUBO ALUMINIO 80 1MT CALDAIA;59657,47;72783;REPUESTOS CALDERAS
TUBO ALUMINIO 80 2MT CALDAIA;119314,94;145565;REPUESTOS CALDERAS
TUBO ALUMINIO 80 3MT CALDAIA;178970,9;218345;REPUESTOS CALDERAS
TUBO ALUMINIO 80 4MT CALDAIA;238628,37;291127;REPUESTOS CALDERAS
TUBO ALUMINIO 80 5MT CALDAIA;298285,85;363909;REPUESTOS CALDERAS
TUBO ALUMINIO 80 6MT CALDAIA;349419,96;426293;REPUESTOS CALDERAS
TUBO COAXIL 60/100 1MT 04-021-01 CALDAIA;89485,45;109173;REPUESTOS CALDERAS
TUBO COAXIL 60/100 2MT 04-023-01 CALDAIA;178970,9;218345;REPUESTOS CALDERAS
TUBO COAXIL 60/100 3MT 04-025-01 CALDAIA;268457,86;327519;REPUESTOS CALDERAS
TUBO COAXIL 60/100 4MT 04-027-01 CALDAIA;357943,31;436691;REPUESTOS CALDERAS
TUBO DE PVC Ø100 POR 1 mts CALDAIA;36220,88;44190;REPUESTOS CALDERAS
UNION DOBLE RECTA 1/2° CALDAIA;36220,88;44190;REPUESTOS CALDERAS
